player_name,display_name,active,notes,id,pitcher,date,rel_speed,horz_break,induced_vert_break,original_pitch_type,new_pitch_type,new_pitcher,modified_at,pitch_key,created_at,PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallZAmb4,PitchSession,Flag,CalibrationId,EffVelocity,PracticeType,Device,HitType,SessionId,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2026-02-07,14:40:57,1,1,"Vazquez, Matt",1000208164,Right,WES_COL,"Nadeau, Keedan",1000171596,Left,CAL_STA,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,88.1105,-0.725571,-3.684239,2051.007148,225.147492,01:30:00,6.23702,0.93729,5.52189,-21.10615,15.54922,14.42493,3.79836,-1.30998,80.26315,-4.681692,-1.119888,0.435753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8.27245,8.39882,-0.62601,50,6.15985,7.57862,-127.65536,-2.31088,-13.63688,26.52402,-18.32882,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,12588840-0476-11f1-8a6c-c90a5fdff992,86.4996,NA,NA,7.84734,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:40:57,2026-02-07T22:40:57Z,2026-02-07T22:40:57Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,35da5462-3c49-46e8-a48b-6490eb997b6f,54.97625,-128.68516,13.26201,6.23575,-1.59926,-9.16441,-0.93052,8.10807,-6.81844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2026-02-07,14:41:16,1,2,"Vazquez, Matt",1000208164,Right,WES_COL,"Nadeau, Keedan",1000171596,Left,CAL_STA,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,87.96403,-3.18541,-3.149999,2113.864974,218.827221,01:15:00,6.12144,0.89847,5.61062,-19.15718,17.47182,13.10414,1.54416,-0.95271,80.54852,-6.776086,-0.813751,0.435596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-7.47107,10.07426,-0.63749,50,5.83627,6.43961,-127.37974,-7.7006,-12.29354,25.79498,-15.59698,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,1d4291b0-0476-11f1-8a6c-c90a5fdff992,86.5307,NA,NA,7.41551,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:41:16,2026-02-07T22:41:16Z,2026-02-07T22:41:16Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,9293c103-583e-4dea-85b3-3e45482003dc,54.88794,-128.36576,12.89749,6.11923,-7.1044,-7.79849,-0.89263,6.90953,-6.14677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2026-02-07,14:41:32,1,3,"Vazquez, Matt",1000208164,Right,WES_COL,"Nadeau, Keedan",1000171596,Left,CAL_STA,Undefined,1,Top,0,1,1,Splitter,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,NA,79.66531,-0.266662,-2.969121,1420.323564,265.39567,02:45:00,5.92174,1.0789,5.68673,-41.4962,2.705,17.04973,2.21484,-0.27021,73.4869,-7.870258,0.079642,0.478507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.5539,1.78496,-0.84016,50,5.87286,5.36287,-115.68828,-1.88385,-12.99995,20.76969,-29.74524,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,26de9750-0476-11f1-8a6c-c90a5fdff992,78.7709,NA,NA,6.17841,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:41:32,2026-02-07T22:41:32Z,2026-02-07T22:41:32Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,f02fe79e-63a5-4283-a6b5-3c71c16fe49a,54.81605,-116.5497,10.38485,5.92541,-0.65016,-14.87262,-1.07377,5.90205,-6.49998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,2026-02-07,14:41:53,1,4,"Vazquez, Matt",1000208164,Right,WES_COL,"Nadeau, Keedan",1000171596,Left,CAL_STA,Undefined,1,Top,0,1,2,Splitter,Slider,InPlay,Undefined,GroundBall,Single,0,0,NA,78.4309,-0.057334,-2.456498,2160.157956,185.12378,12:15:00,5.91887,1.33423,5.58505,-38.21132,7.49162,0.55079,2.681,-0.91528,72.41768,-7.06813,-2.358289,0.486568,85.10957,5.747418,5.062142,1448.586134,NA,NA,NA,103.5288,103.5288,9.176955,0.918666,-0.92067,4.20473,-1.12343,50,5.88885,4.86499,-113.88669,-1.33447,-1.21659,19.71698,-26.61793,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,334de130-0476-11f1-8a6c-c90a5fdff992,77.46595,4.88759,NA,6.01322,NA,NA,NA,1.35147,2.66855,0.92816,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:41:53,2026-02-07T22:41:53Z,2026-02-07T22:41:53Z,GroundBall,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,a9571016-4d22-4d9d-a1e2-87f4963c2b65,54.91535,-114.73452,9.85849,5.92162,-0.1899,-13.30897,-1.33375,4.91731,-0.6083,272.411973,1.35147,123.7151,-16.63471,1.83323,-0.18709,-0.20333,0.22738,-0.12207,0.02741,2.66855,12.50048,-18.17594,1.72617,-0.14656,-0.22704,0.28569,-0.16054,0.03709,0.92816,10.95952,8.13683,-1.87767,-0.43635,1.52863,-1.62206,0.89387,-0.2061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2026-02-07,14:42:33,2,1,"Vazquez, Matt",1000208164,Right,WES_COL,"Giesegh, Jeremy",10268327,Right,CAL_STA,Undefined,1,Top,0,0,0,Splitter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.54547,-1.578148,-3.647922,1527.846643,256.312443,02:30:00,5.98746,1.26691,5.6498,-40.63061,6.52048,20.39359,1.12624,-0.44072,71.16685,-9.031152,-0.004292,0.494217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.4402,4.20933,-0.97065,50,5.82748,6.40267,-112.38782,-4.37847,-14.58602,20.97008,-26.80726,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,4b849c30-0476-11f1-8a6c-c90a5fdff992,76.26704,NA,NA,6.37862,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:42:33,2026-02-07T22:42:33Z,2026-02-07T22:42:33Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,70504986-2e0b-4920-a6ec-f67684bf99df,54.85129,-113.28939,10.48504,5.99095,-3.22594,-13.40363,-1.2594,7.02977,-7.29301,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2026-02-07,14:42:50,2,2,"Vazquez, Matt",1000208164,Right,WES_COL,"Giesegh, Jeremy",10268327,Right,CAL_STA,Undefined,1,Top,0,1,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,NA,88.16693,-2.279639,-4.079631,2262.741596,232.273262,01:45:00,6.19605,1.0074,5.65707,-19.96411,16.9056,20.11308,2.39987,-1.12759,79.59235,-6.057555,-0.49505,0.437025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.40697,9.65902,-0.67422,50,5.9901,8.2055,-127.4968,-5.70434,-18.55302,29.12192,-16.464,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,55465240-0476-11f1-8a6c-c90a5fdff992,86.2478,NA,NA,8.57458,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:42:50,2026-02-07T22:42:50Z,2026-02-07T22:42:50Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,9e2e7c01-ce17-427f-8dc0-e9eecceb2c5f,54.84057,-128.59769,14.56096,6.19397,-5.08195,-8.232,-0.99767,8.90686,-9.27651,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2026-02-07,14:43:05,2,3,"Vazquez, Matt",1000208164,Right,WES_COL,"Giesegh, Jeremy",10268327,Right,CAL_STA,Undefined,1,Top,0,1,1,Slider,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,NA,77.40056,1.062124,-2.779329,2171.529579,178.797067,12:00:00,5.93992,1.25831,5.49098,-34.6377,13.1491,-0.24228,4.04834,-1.36397,70.29407,-5.366413,-2.822385,0.497537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.70654,6.8017,-1.01461,50,6.01003,5.45183,-112.10279,1.011,-0.89301,21.54234,-23.577,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,5e9437e0-0476-11f1-8a6c-c90a5fdff992,75.75806,NA,NA,7.10649,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:43:05,2026-02-07T22:43:05Z,2026-02-07T22:43:05Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,e92d9c88-ff82-42dc-8d24-82fe8abcea6c,55.00403,-113.0603,10.77117,5.9418,2.05895,-11.7885,-1.25782,5.49152,-0.4465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2026-02-07,14:43:51,2,4,"Vazquez, Matt",1000208164,Right,WES_COL,"Giesegh, Jeremy",10268327,Right,CAL_STA,Undefined,1,Top,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,NA,87.67319,-2.605291,-2.9625880000000002,2178.846708,237.884391,02:00:00,6.08561,1.10957,5.58625,-23.04919,14.08107,20.39005,1.72701,0.03972,79.73621,-6.905913,0.674599,0.438566,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-11.16749,8.27851,-0.86839,50,5.8466,5.6811,-126.97064,-6.5463,-18.105,27.67028,-18.75274,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,79ebe1f0-0476-11f1-8a6c-c90a5fdff992,85.94466,NA,NA,7.93698,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:43:51,2026-02-07T22:43:51Z,2026-02-07T22:43:51Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,c52bd70b-27a4-4da1-b434-9eda31d661d5,54.91273,-128.03678,13.83514,6.08491,-5.82376,-9.37637,-1.10072,6.37869,-9.0525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,5,"Vazquez, Matt",1000208164,Right,WES_COL,"Giesegh, Jeremy",10268327,Right,CAL_STA,Undefined,1,Top,0,3,1,Other,NA,BallCalled,Walk,Undefined,Undefined,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,945a6480-0476-11f1-8a6c-c90a5fdff992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,NA,NA,NA,NA,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,48eaf1fc-76ee-491c-a19d-12f1423b848e,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2026-02-07,14:45:45,3,1,"Vazquez, Matt",1000208164,Right,WES_COL,"Dominguez, Dominic",1000216736,Left,CAL_STA,Undefined,1,Top,0,0,0,Splitter,Changeup,BallinDirt,Undefined,Undefined,Undefined,0,0,NA,80.35691,-5.101472,-5.546481,1625.186111,263.07056,02:45:00,5.95932,1.55302,5.64127,-40.21069,4.21142,22.44545,-2.18564,-1.76689,74.18724,-12.367808,-1.542241,0.479701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13.49918,3.81335,-1.09636,50,5.49647,10.457090000000001,-115.81935,-11.66722,-18.25995,22.46853,-27.01587,WES_COL,CAL_STA,RussellCarrField,D2,Team,20260207-RussellCarrField-2,bdbbf5a0-0476-11f1-8a6c-c90a5fdff992,78.57478,NA,NA,6.16967,NA,NA,NA,NA,NA,NA,3504fc51-fd8a-4d8f-b92d-e1e4e4f2001e,2026-02-07,22:45:45,2026-02-07T22:45:45Z,2026-02-07T22:45:45Z,NA,v3,NA,NA,NA,"Brown, Griffin",10273563,Right,WES_COL,8d7f539b-8562-49e5-b1a2-06455648044f,54.86398,-116.75913,11.23427,5.96084,-10.53724,-13.50794,-1.54971,11.22084,-9.12998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,High,High,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
